region,Year,Gender,Age_Group,IM,outcome,Condition_Alcohol,Count,Total_Days,Acute_Days,ALC_Days,Cost,AAF_Total,AAF_Sensitivity,AA_Count,AA_Total_Days,AA_Acute_Days,AA_ALC_Days,AA_Cost
AB,2007,Female,15-34,(5).(1),Morbidity,Hypertension,9,29,29,0,28636.2146,0.117258,0.117258,1.055322,3.400482,3.400482,0,3357.825252
AB,2007,Female,15-34,(5).(2),Morbidity,Ischaemic heart disease,12,58,58,0,100621.8294,-0.10844,-0.10844,-1.30128,-6.28952,-6.28952,0,-10911.43118
AB,2007,Female,15-34,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,15-34,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,49,87,87,0,223159.7316,0.084255,0.084255,4.128495,7.330185,7.330185,0,18802.32319
AB,2007,Female,15-34,(5).(5),Morbidity,Haemorrhagic stroke,12,114,96,18,217564.0064,-0.06824,-0.06824,-0.81888,-7.77936,-6.55104,-1.22832,-14846.5678
AB,2007,Female,15-34,(5).(6),Morbidity,Ischaemic stroke,29,212,182,30,301268.0709,-0.03277,-0.03277,-0.95033,-6.94724,-5.96414,-0.9831,-9872.554683
AB,2007,Female,15-34,(5).(7),Morbidity,Oesophageal varices,1,7,7,0,3904.7392,0.604981,0.604981,0.604981,4.234867,4.234867,0,2362.293026
AB,2007,Female,15-34,(6).(1),Morbidity,Alcoholic gastritis,7,15,15,0,15433.5752,1,1,7,15,15,0,15433.5752
AB,2007,Female,15-34,(6).(2),Morbidity,Liver cirrhosis,17,270,270,0,175021.78,0.604981,0.604981,10.284677,163.34487,163.34487,0,105884.8515
AB,2007,Female,15-34,(6).(3),Morbidity,Acute pancreatitis,193,956,956,0,938278.7653,0.184232,0.184232,35.556776,176.125792,176.125792,0,172860.9735
AB,2007,Female,15-34,(6).(4),Morbidity,Chronic pancreatitis,8,48,48,0,40196.4056,0.351378,0.351378,2.811024,16.866144,16.866144,0,14124.13261
AB,2007,Female,15-34,(6).(5),Morbidity,Alcohol-induced pancreatitis,12,52,52,0,35767.6328,1,1,12,52,52,0,35767.6328
AB,2007,Female,15-34,(7).(1),Morbidity,Motor vehicle collisions,414,3850,3670,180,6169167.363,0.147728769,0.147728769,61.15971037,568.7557607,542.1645822,26.59117842,911363.5003
AB,2007,Female,15-34,(8).(1),Morbidity,Falls,441,1578,1527,51,2124734.817,0.185926,0.185926,81.993366,293.391228,283.909002,9.482226,395043.4455
AB,2007,Female,15-34,(8).(2),Morbidity,Drowning,2,3,3,0,5699.7044,0.185926,0.185926,0.371852,0.557778,0.557778,0,1059.72324
AB,2007,Female,15-34,(8).(3),Morbidity,Fires,11,107,107,0,404043.94,0.185926,0.185926,2.045186,19.894082,19.894082,0,75122.27359
AB,2007,Female,15-34,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,162,746,733,13,944144.3556,0.185926,0.185926,30.120012,138.700796,136.283758,2.417038,175540.9835
AB,2007,Female,15-34,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,9,11,11,0,21798.1098,1,1,9,11,11,0,21798.1098
AB,2007,Female,15-34,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,15-34,(8).(6),Morbidity,Other unintentional injuries,393,2134,2134,0,3332363.233,0.185926,0.185926,73.068918,396.766084,396.766084,0,619572.9665
AB,2007,Female,15-34,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,494,2901,2753,148,2653382.691,0.231425,0.231425,114.32395,671.363925,637.113025,34.2509,614059.0893
AB,2007,Female,15-34,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,3,8,8,0,17937.4048,1,1,3,8,8,0,17937.4048
AB,2007,Female,15-34,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,2,7,7,0,7829.116,1,1,2,7,7,0,7829.116
AB,2007,Female,15-34,(9).(3),Morbidity,Other intentional self-harm,78,1247,1215,32,1080927.534,0.231425,0.231425,18.05115,288.586975,281.181375,7.4056,250153.6545
AB,2007,Female,15-34,(9).(4),Morbidity,Assault / homicide,129,805,805,0,1188323.21,0.231425,0.231425,29.853825,186.297125,186.297125,0,275007.6989
AB,2007,Female,15-34,(9).(5),Morbidity,Other intentional injury,0,0,0,0,0,0.231425,0.231425,0,0,0,0,0
AB,2007,Female,15-34,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,15-34,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,15-34,(A).(3),Morbidity,Fetal alcohol syndrome,2,30,30,0,8356.688,1,1,2,30,30,0,8356.688
AB,2007,Female,35-64,(1).(1),Morbidity,Tuberculosis,10,209,209,0,90697.0384,0.2642,0.2642,2.642,55.2178,55.2178,0,23962.15755
AB,2007,Female,35-64,(1).(2),Morbidity,HIV,44,640,487,153,629619.7963,0.028874,0.028874,1.270456,18.47936,14.061638,4.417722,18179.642
AB,2007,Female,35-64,(1).(3),Morbidity,Lower respiratory tract infections,917,6073,5986,87,5675521.169,0.061494,0.061494,56.389998,373.453062,368.103084,5.349978,349010.4988
AB,2007,Female,35-64,(2).(1),Morbidity,Oral cavity and pharynx cancer,28,384,384,0,630357.4128,0.345321,0.345321,9.668988,132.603264,132.603264,0,217675.6521
AB,2007,Female,35-64,(2).(2),Morbidity,Oesaphageal cancer,13,247,247,0,273002.5154,0.390904,0.390904,5.081752,96.553288,96.553288,0,106717.7753
AB,2007,Female,35-64,(2).(3),Morbidity,Colorectal cancer,230,2537,2530,7,3079396.371,0.045141,0.045141,10.38243,114.522717,114.20673,0.315987,139007.0316
AB,2007,Female,35-64,(2).(4),Morbidity,Liver cancer,24,344,329,15,337997.7176,0.221915,0.221896,5.32596,76.33876,73.010035,3.328725,75006.7635
AB,2007,Female,35-64,(2).(5),Morbidity,Pancreatic cancer,37,424,420,4,493694.8,0.040099,0.040099,1.483663,17.001976,16.84158,0.160396,19796.66779
AB,2007,Female,35-64,(2).(6),Morbidity,Laryngeal cancer,4,38,38,0,45827.4352,0.205928,0.205928,0.823712,7.825264,7.825264,0,9437.152076
AB,2007,Female,35-64,(2).(7),Morbidity,Breast cancer,1094,2334,2194,140,5242744.861,0.141548,0.141548,154.853512,330.373032,310.556312,19.81672,742100.0496
AB,2007,Female,35-64,(3).(1),Morbidity,Diabetes,425,4654,4258,396,4884486.019,-0.18885,-0.18885,-80.26125,-878.9079,-804.1233,-74.7846,-922435.1847
AB,2007,Female,35-64,(4).(1),Morbidity,Alcoholic psychoses,210,2284,1736,548,1509707.401,1,1,210,2284,1736,548,1509707.401
AB,2007,Female,35-64,(4).(2),Morbidity,Alcohol abuse,61,319,319,0,243523.8037,1,1,61,319,319,0,243523.8037
AB,2007,Female,35-64,(4).(3),Morbidity,Alcohol dependence,136,937,892,45,698000.5236,1,1,136,937,892,45,698000.5236
AB,2007,Female,35-64,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,2,64,64,0,31330.0344,1,1,2,64,64,0,31330.0344
AB,2007,Female,35-64,(4).(5),Morbidity,Epilepsy,175,1260,1163,97,1367659.643,0.170395,0.170395,29.819125,214.6977,198.169385,16.528315,233042.3648
AB,2007,Female,35-64,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,35-64,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,35-64,(5).(1),Morbidity,Hypertension,124,594,594,0,815961.0966,0.10142,0.10142,12.57608,60.24348,60.24348,0,82754.77442
AB,2007,Female,35-64,(5).(2),Morbidity,Ischaemic heart disease,1027,5508,5508,0,9104483.478,-0.19325,-0.19325,-198.46775,-1064.421,-1064.421,0,-1759441.432
AB,2007,Female,35-64,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,35-64,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,287,1273,1273,0,1867689.542,0.076177,0.076177,21.862799,96.973321,96.973321,0,142274.9862
AB,2007,Female,35-64,(5).(5),Morbidity,Haemorrhagic stroke,124,1724,1591,133,2874851.818,-0.08293,-0.08293,-10.28332,-142.97132,-131.94163,-11.02969,-238411.4612
AB,2007,Female,35-64,(5).(6),Morbidity,Ischaemic stroke,309,3648,3013,635,3982899.559,-0.06677,-0.06677,-20.63193,-243.57696,-201.17801,-42.39895,-265938.2035
AB,2007,Female,35-64,(5).(7),Morbidity,Oesophageal varices,13,81,81,0,119311.2611,0.606086,0.606086,7.879118,49.092966,49.092966,0,72312.885
AB,2007,Female,35-64,(6).(1),Morbidity,Alcoholic gastritis,25,103,103,0,75565.5717,1,1,25,103,103,0,75565.5717
AB,2007,Female,35-64,(6).(2),Morbidity,Liver cirrhosis,229,2777,2586,191,2779607.732,0.606086,0.606086,138.793694,1683.100822,1567.338396,115.762426,1684681.332
AB,2007,Female,35-64,(6).(3),Morbidity,Acute pancreatitis,336,2233,2233,0,1865748.88,0.176093,0.176093,59.167248,393.215669,393.215669,0,328545.3175
AB,2007,Female,35-64,(6).(4),Morbidity,Chronic pancreatitis,43,368,368,0,357221.7462,0.349313,0.349313,15.020459,128.547184,128.547184,0,124782.1998
AB,2007,Female,35-64,(6).(5),Morbidity,Alcohol-induced pancreatitis,68,610,610,0,774864.3646,1,1,68,610,610,0,774864.3646
AB,2007,Female,35-64,(7).(1),Morbidity,Motor vehicle collisions,469,5009,4909,100,6546870.078,0.105328525,0.105328525,49.39907823,527.5905817,517.0577292,10.5328525,689572.1687
AB,2007,Female,35-64,(8).(1),Morbidity,Falls,1762,13893,12672,1221,14688429.9,0.129366,0.129366,227.942892,1797.281838,1639.325952,157.955886,1900183.422
AB,2007,Female,35-64,(8).(2),Morbidity,Drowning,0,0,0,0,0,0.129366,0.129366,0,0,0,0,0
AB,2007,Female,35-64,(8).(3),Morbidity,Fires,15,149,127,22,142816.104,0.129366,0.129366,1.94049,19.275534,16.429482,2.846052,18475.54811
AB,2007,Female,35-64,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,290,2425,2310,115,2608772.356,0.129366,0.129366,37.51614,313.71255,298.83546,14.87709,337486.4446
AB,2007,Female,35-64,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,14,87,87,0,134505.9648,1,1,14,87,87,0,134505.9648
AB,2007,Female,35-64,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,1,1,1,0,1093.9648,1,1,1,1,1,0,1093.9648
AB,2007,Female,35-64,(8).(6),Morbidity,Other unintentional injuries,554,3509,3327,182,4121520.571,0.129366,0.129366,71.668764,453.945294,430.400682,23.544612,533184.6302
AB,2007,Female,35-64,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,398,3169,3169,0,2501067.605,0.158357,0.158357,63.026086,501.833333,501.833333,0,396061.5627
AB,2007,Female,35-64,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,11,51,51,0,54276.104,1,1,11,51,51,0,54276.104
AB,2007,Female,35-64,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,2,3,3,0,7166.0368,1,1,2,3,3,0,7166.0368
AB,2007,Female,35-64,(9).(3),Morbidity,Other intentional self-harm,50,786,786,0,505369.6375,0.158357,0.158357,7.91785,124.468602,124.468602,0,80028.81969
AB,2007,Female,35-64,(9).(4),Morbidity,Assault / homicide,98,783,647,136,1123147.719,0.158357,0.158357,15.518986,123.993531,102.456979,21.536552,177858.3033
AB,2007,Female,35-64,(9).(5),Morbidity,Other intentional injury,2,101,101,0,128407.8616,0.158357,0.158357,0.316714,15.994057,15.994057,0,20334.28374
AB,2007,Female,35-64,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,35-64,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,35-64,(A).(3),Morbidity,Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(1).(1),Morbidity,Tuberculosis,11,182,182,0,130749.8344,0.163315,0.163315,1.796465,29.72333,29.72333,0,21353.40921
AB,2007,Female,65+,(1).(2),Morbidity,HIV,0,0,0,0,0,0.012455,0.012455,0,0,0,0,0
AB,2007,Female,65+,(1).(3),Morbidity,Lower respiratory tract infections,1459,15197,14179,1018,11113197.71,0.037924,0.037924,55.331116,576.331028,537.724396,38.606632,421456.9099
AB,2007,Female,65+,(2).(1),Morbidity,Oral cavity and pharynx cancer,41,732,686,46,798431.0096,0.23983,0.23983,9.83303,175.55556,164.52338,11.03218,191487.709
AB,2007,Female,65+,(2).(2),Morbidity,Oesaphageal cancer,18,403,334,69,346273.7584,0.290134,0.290134,5.222412,116.924002,96.904756,20.019246,100465.7906
AB,2007,Female,65+,(2).(3),Morbidity,Colorectal cancer,487,6856,6730,126,7172707.126,0.03499,0.03499,17.04013,239.89144,235.4827,4.40874,250973.0223
AB,2007,Female,65+,(2).(4),Morbidity,Liver cancer,39,468,410,58,421580.5224,0.268395,0.268387,10.467405,125.60886,110.04195,15.56691,113150.1043
AB,2007,Female,65+,(2).(5),Morbidity,Pancreatic cancer,108,1541,1437,104,1345593.799,0.038963,0.038963,4.208004,60.041983,55.989831,4.052152,52428.37119
AB,2007,Female,65+,(2).(6),Morbidity,Laryngeal cancer,6,46,46,0,58188.1184,0.151857,0.151857,0.911142,6.985422,6.985422,0,8836.273096
AB,2007,Female,65+,(2).(7),Morbidity,Breast cancer,723,2337,2258,79,3807883.611,0.091298,0.091298,66.008454,213.363426,206.150884,7.212542,347652.1579
AB,2007,Female,65+,(3).(1),Morbidity,Diabetes,715,12027,10545,1482,9249133.691,-0.11362,-0.11362,-81.2383,-1366.50774,-1198.1229,-168.38484,-1050886.57
AB,2007,Female,65+,(4).(1),Morbidity,Alcoholic psychoses,38,637,503,134,420880.3216,1,1,38,637,503,134,420880.3216
AB,2007,Female,65+,(4).(2),Morbidity,Alcohol abuse,3,201,90,111,92102.7456,1,1,3,201,90,111,92102.7456
AB,2007,Female,65+,(4).(3),Morbidity,Alcohol dependence,14,170,166,4,107676.0208,1,1,14,170,166,4,107676.0208
AB,2007,Female,65+,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,2,84,30,54,18021.9344,1,1,2,84,30,54,18021.9344
AB,2007,Female,65+,(4).(5),Morbidity,Epilepsy,78,1096,1004,92,919302.9328,0.105141,0.105141,8.200998,115.234536,105.561564,9.672972,96656.42966
AB,2007,Female,65+,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(5).(1),Morbidity,Hypertension,330,2428,2335,93,2232087.647,0.058973,0.058973,19.46109,143.186444,137.701955,5.484489,131632.9048
AB,2007,Female,65+,(5).(2),Morbidity,Ischaemic heart disease,2161,18827,18191,636,24915392.32,-0.20041,-0.20041,-433.08601,-3773.11907,-3645.65831,-127.46076,-4993293.776
AB,2007,Female,65+,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,1093,8505,8004,501,8494439.34,0.048387,0.048387,52.886991,411.531435,387.289548,24.241887,411020.4364
AB,2007,Female,65+,(5).(5),Morbidity,Haemorrhagic stroke,216,4248,3505,743,4038864.753,-0.0511,-0.0511,-11.0376,-217.0728,-179.1055,-37.9673,-206385.9889
AB,2007,Female,65+,(5).(6),Morbidity,Ischaemic stroke,1034,19717,16618,3099,15372718.52,-0.08104,-0.08104,-83.79536,-1597.86568,-1346.72272,-251.14296,-1245805.109
AB,2007,Female,65+,(5).(7),Morbidity,Oesophageal varices,5,23,23,0,19771.5952,0.566881,0.566881,2.834405,13.038263,13.038263,0,11208.14166
AB,2007,Female,65+,(6).(1),Morbidity,Alcoholic gastritis,2,8,8,0,5950.1248,1,1,2,8,8,0,5950.1248
AB,2007,Female,65+,(6).(2),Morbidity,Liver cirrhosis,62,1409,1184,225,1286273.488,0.566881,0.566881,35.146622,798.735329,671.187104,127.548225,729164.0013
AB,2007,Female,65+,(6).(3),Morbidity,Acute pancreatitis,217,2207,1963,244,2100486.929,0.190251,0.190251,41.284467,419.883957,373.462713,46.421244,399619.7387
AB,2007,Female,65+,(6).(4),Morbidity,Chronic pancreatitis,12,180,180,0,137528.0432,0.326205,0.326205,3.91446,58.7169,58.7169,0,44862.33533
AB,2007,Female,65+,(6).(5),Morbidity,Alcohol-induced pancreatitis,10,99,99,0,71951.0352,1,1,10,99,99,0,71951.0352
AB,2007,Female,65+,(7).(1),Morbidity,Motor vehicle collisions,180,2909,2751,158,2943378.293,0.063657894,0.063657894,11.45842092,185.1808136,175.1228664,10.05794725,187369.2634
AB,2007,Female,65+,(8).(1),Morbidity,Falls,4653,87288,74218,13070,68293873.91,0.052236,0.052236,243.054108,4559.575968,3876.851448,682.72452,3567398.798
AB,2007,Female,65+,(8).(2),Morbidity,Drowning,0,0,0,0,0,0.052236,0.052236,0,0,0,0,0
AB,2007,Female,65+,(8).(3),Morbidity,Fires,4,47,47,0,43120.4704,0.052236,0.052236,0.208944,2.455092,2.455092,0,2252.440892
AB,2007,Female,65+,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,167,2130,1867,263,1869591.9,0.052236,0.052236,8.723412,111.26268,97.524612,13.738068,97660.00247
AB,2007,Female,65+,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,3,20,20,0,11488.9176,1,1,3,20,20,0,11488.9176
AB,2007,Female,65+,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,1,2,2,0,4327.6592,1,1,1,2,2,0,4327.6592
AB,2007,Female,65+,(8).(6),Morbidity,Other unintentional injuries,259,4146,3579,567,4007189.63,0.052236,0.052236,13.529124,216.570456,186.952644,29.617812,209319.5575
AB,2007,Female,65+,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,26,448,446,2,378717.204,0.059431,0.059431,1.545206,26.625088,26.506226,0.118862,22507.54215
AB,2007,Female,65+,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(9).(3),Morbidity,Other intentional self-harm,2,41,41,0,31851.2056,0.059431,0.059431,0.118862,2.436671,2.436671,0,1892.949
AB,2007,Female,65+,(9).(4),Morbidity,Assault / homicide,22,999,878,121,557459.5848,0.059431,0.059431,1.307482,59.371569,52.180418,7.191151,33130.38058
AB,2007,Female,65+,(9).(5),Morbidity,Other intentional injury,0,0,0,0,0,0.059431,0.059431,0,0,0,0,0
AB,2007,Female,65+,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Female,65+,(A).(3),Morbidity,Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Male,15-34,(1).(1),Morbidity,Tuberculosis,10,181,181,0,143305.8648,0.573185,0.573185,5.73185,103.746485,103.746485,0,82140.77212
AB,2007,Male,15-34,(1).(2),Morbidity,HIV,19,238,238,0,468378.3084,0.077466,0.077466,1.471854,18.436908,18.436908,0,36283.39404
AB,2007,Male,15-34,(1).(3),Morbidity,Lower respiratory tract infections,316,1474,1474,0,1557385.065,0.143882,0.143882,45.466712,212.082068,212.082068,0,224079.6779
AB,2007,Male,15-34,(2).(1),Morbidity,Oral cavity and pharynx cancer,1,59,59,0,38028.8064,0.635985,0.635985,0.635985,37.523115,37.523115,0,24185.75044
AB,2007,Male,15-34,(2).(2),Morbidity,Oesaphageal cancer,0,0,0,0,0,0.621848,0.621848,0,0,0,0,0
AB,2007,Male,15-34,(2).(3),Morbidity,Colorectal cancer,8,69,69,0,60160.8352,0.255385,0.255385,2.04308,17.621565,17.621565,0,15364.1749
AB,2007,Male,15-34,(2).(4),Morbidity,Liver cancer,1,4,4,0,5504.1312,0.208913,0.208795,0.208913,0.835652,0.835652,0,1149.884561
AB,2007,Male,15-34,(2).(5),Morbidity,Pancreatic cancer,0,0,0,0,0,0.091983,0.091983,0,0,0,0,0
AB,2007,Male,15-34,(2).(6),Morbidity,Laryngeal cancer,0,0,0,0,0,0.402308,0.402308,0,0,0,0,0
AB,2007,Male,15-34,(2).(7),Morbidity,Breast cancer,0,0,0,0,0,0,0,0,0,0,0,0
AB,2007,Male,15-34,(3).(1),Morbidity,Diabetes,78,614,614,0,648626.7744,0.033865,0.033786,2.64147,20.79311,20.79311,0,21965.74572
AB,2007,Male,15-34,(4).(1),Morbidity,Alcoholic psychoses,176,634,634,0,649439.4268,1,1,176,634,634,0,649439.4268
AB,2007,Male,15-34,(4).(2),Morbidity,Alcohol abuse,41,190,190,0,133833.2653,1,1,41,190,190,0,133833.2653
AB,2007,Male,15-34,(4).(3),Morbidity,Alcohol dependence,62,257,257,0,219760.968,1,1,62,257,257,0,219760.968
AB,2007,Male,15-34,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Male,15-34,(4).(5),Morbidity,Epilepsy,149,675,675,0,858915.0903,0.3899,0.3899,58.0951,263.1825,263.1825,0,334890.9937
AB,2007,Male,15-34,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Male,15-34,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2007,Male,15-34,(5).(1),Morbidity,Hypertension,21,134,134,0,325117.1392,0.246959,0.246959,5.186139,33.092506,33.092506,0,80290.60358
AB,2007,Male,15-34,(5).(2),Morbidity,Ischaemic heart disease,44,336,336,0,462885.7942,0.055853,-0.10183,2.457532,18.766608,18.766608,0,25853.56026
AB,2007,Male,15-34,(5).(3),Morbidity,Alcoholic cardiomypathy,2,11,11,0,16513.2664,1,1,2,11,11,0,16513.2664
AB,2007,Male,15-34,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,71,180,180,0,353053.4282,0.17563,0.17563,12.46973,31.6134,31.6134,0,62006.77359
AB,2007,Male,15-34,(5).(5),Morbidity,Haemorrhagic stroke,17,174,164,10,584758.2139,0.251517,0.251517,4.275789,43.763958,41.248788,2.51517,147076.6317
AB,2007,Male,15-34,(5).(6),Morbidity,Ischaemic stroke,21,526,515,11,452867.2176,0.044714,0.044714,0.938994,23.519564,23.02771,0.491854,20249.50477
AB,2007,Male,15-34,(5).(7),Morbidity,Oesophageal varices,0,0,0,0,0,0.568803,0.568803,0,0,0,0,0
AB,2007,Male,15-34,(6).(1),Morbidity,Alcoholic gastritis,22,65,65,0,52668.4936,1,1,22,65,65,0,52668.4936
AB,2007,Male,15-34,(6).(2),Morbidity,Liver cirrhosis,22,124,124,0,128475.2126,0.568803,0.568803,12.513666,70.531572,70.531572,0,73077.08635
AB,2007,Male,15-34,(6).(3),Morbidity,Acute pancreatitis,95,512,512,0,414063.8908,0.43965,0.43965,41.76675,225.1008,225.1008,0,182043.1896
AB,2007,Male,15-34,(6).(4),Morbidity,Chronic pancreatitis,11,86,86,0,64931.3672,0.588038,0.588038,6.468418,50.571268,50.571268,0,38182.11131
AB,2007,Male,15-34,(6).(5),Morbidity,Alcohol-induced pancreatitis,76,356,356,0,282931.4014,1,1,76,356,356,0,282931.4014
AB,2007,Male,15-34,(7).(1),Morbidity,Motor vehicle collisions,876,9035,8502,533,14401541.18,0.249179512,0.249179512,218.2812525,2251.336891,2118.524211,132.8126799,3588569.004
AB,2007,Male,15-34,(8).(1),Morbidity,Falls,977,3933,3917,16,5811494.829,0.295123,0.295123,288.335171,1160.718759,1155.996791,4.721968,1715105.788
AB,2007,Male,15-34,(8).(2),Morbidity,Drowning,3,12,12,0,11287.556,0.295123,0.295123,0.885369,3.541476,3.541476,0,3331.217389
AB,2007,Male,15-34,(8).(3),Morbidity,Fires,31,278,278,0,372775.1728,0.295123,0.295123,9.148813,82.044194,82.044194,0,110014.5273
AB,2007,Male,15-34,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,194,662,650,12,969261.7066,0.295123,0.295123,57.253862,195.371426,191.82995,3.541476,286051.4226
AB,2007,Male,15-34,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,17,43,43,0,65261.8152,1,1,17,43,43,0,65261.8152
