Province,Year,Gender,Age_Group,IM,Condition_Alcohol,Count,Total_Days,Acute_Days,ALC_Days,Cost,AAF_Total,AAF_Sensitivity,AA_Count,AA_Total_Days,AA_Acute_Days,AA_ALC_Days,AA_Cost
01:NL,2007,Female,35-64,(2).(4),Liver cancer,4,32,32,0,22167.9594,0.238222,0.238205,0.952888,7.623104,7.623104,0,5280.895624
01:NL,2007,Female,35-64,(2).(5),Pancreatic cancer,9,123,123,0,154254.3445,0.041026,0.041026,0.369234,5.046198,5.046198,0,6328.438737
01:NL,2007,Female,35-64,(2).(6),Laryngeal cancer,0,0,0,0,0,0.199074,0.199074,0,0,0,0,0
01:NL,2007,Female,35-64,(2).(7),Breast cancer,173,503,500,3,866080.0252,0.134118,0.134118,23.202414,67.461354,67.059,0.402354,116156.9208
01:NL,2007,Female,35-64,(3).(1),Diabetes,126,1999,1594,405,1558851.635,-0.1783,-0.1783,-22.4658,-356.4217,-284.2102,-72.2115,-277943.2464
01:NL,2007,Female,35-64,(4).(1),Alcoholic psychoses,29,81,81,0,71128.8196,1,1,29,81,81,0,71128.8196
01:NL,2007,Female,35-64,(4).(2),Alcohol abuse,1,2,2,0,2857.4533,1,1,1,2,2,0,2857.4533
01:NL,2007,Female,35-64,(4).(3),Alcohol dependence,11,224,130,94,145328.302,1,1,11,224,130,94,145328.302
01:NL,2007,Female,35-64,(4).(4),Degeneration of nervous system due to alcohol,2,33,33,0,14496.4928,1,1,2,33,33,0,14496.4928
01:NL,2007,Female,35-64,(4).(5),Epilepsy,34,266,213,53,392189.331,0.160383,0.160383,5.453022,42.661878,34.161579,8.500299,62900.50147
01:NL,2007,Female,35-64,(4).(6),Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(4).(7),Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(5).(1),Hypertension,34,138,130,8,127376.6507,0.094668,0.094668,3.218712,13.064184,12.30684,0.757344,12058.49277
01:NL,2007,Female,35-64,(5).(2),Ischaemic heart disease,363,2990,2972,18,3722051.544,-0.14427,-0.14427,-52.37001,-431.3673,-428.77044,-2.59686,-536980.3762
01:NL,2007,Female,35-64,(5).(3),Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(5).(4),Atrial fibrillation and cardiac arrhythmia,71,300,300,0,285541.9899,0.0721,0.0721,5.1191,21.63,21.63,0,20587.57747
01:NL,2007,Female,35-64,(5).(5),Haemorrhagic stroke,38,786,630,156,1183947.93,-0.07966,-0.07966,-3.02708,-62.61276,-50.1858,-12.42696,-94313.29211
01:NL,2007,Female,35-64,(5).(6),Ischaemic stroke,72,1302,923,379,1175799.775,-0.05393,-0.05393,-3.88296,-70.21686,-49.77739,-20.43947,-63410.88185
01:NL,2007,Female,35-64,(5).(7),Oesophageal varices,0,0,0,0,0,0.605267,0.605267,0,0,0,0,0
01:NL,2007,Female,35-64,(6).(1),Alcoholic gastritis,1,1,1,0,2031.8948,1,1,1,1,1,0,2031.8948
01:NL,2007,Female,35-64,(6).(2),Liver cirrhosis,27,259,259,0,355208.5415,0.605267,0.605267,16.342209,156.764153,156.764153,0,214996.0083
01:NL,2007,Female,35-64,(6).(3),Acute pancreatitis,68,493,493,0,340278.971,0.181041,0.181041,12.310788,89.253213,89.253213,0,61604.44519
01:NL,2007,Female,35-64,(6).(4),Chronic pancreatitis,6,31,31,0,15666.15,0.350366,0.350366,2.102196,10.861346,10.861346,0,5488.886311
01:NL,2007,Female,35-64,(6).(5),Alcohol-induced pancreatitis,3,12,12,0,10923.159,1,1,3,12,12,0,10923.159
01:NL,2007,Female,35-64,(7).(1),Motor vehicle collisions,43,378,354,24,366529.7939,0.069888889,0.069888889,3.005222227,26.41800004,24.74066671,1.677333336,25616.36008
01:NL,2007,Female,35-64,(8).(1),Falls,224,1480,1248,232,1816803.043,0.165455,0.165455,37.06192,244.8734,206.48784,38.38556,300599.1474
01:NL,2007,Female,35-64,(8).(2),Drowning,1,1,1,0,1297.7718,0.165455,0.165455,0.165455,0.165455,0.165455,0,214.7228332
01:NL,2007,Female,35-64,(8).(3),Fires,2,62,62,0,182264.511,0.165455,0.165455,0.33091,10.25821,10.25821,0,30156.57467
01:NL,2007,Female,35-64,(8).(4),Accidental poisoning by substances other than alcohol,29,234,232,2,255265.1541,0.165455,0.165455,4.798195,38.71647,38.38556,0.33091,42234.89607
01:NL,2007,Female,35-64,(8).(5).(1),Accidental poisoning by alcohol,2,4,4,0,6511.0305,1,1,2,4,4,0,6511.0305
01:NL,2007,Female,35-64,(8).(5).(2),Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(8).(6),Other unintentional injuries,50,393,379,14,448758.219,0.165455,0.165455,8.27275,65.023815,62.707445,2.31637,74249.29112
01:NL,2007,Female,35-64,(9).(1),Intentional self-poisoning by substances other than alcohol,73,654,644,10,451740.8746,0.207807,0.207807,15.169911,135.905778,133.827708,2.07807,93874.91593
01:NL,2007,Female,35-64,(9).(2).(1),Intentional self-poisoning by alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(9).(2).(2),Intentional self-poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(9).(3),Other intentional self-harm,7,74,47,27,34052.6773,0.207807,0.207807,1.454649,15.377718,9.766929,5.610789,7076.384712
01:NL,2007,Female,35-64,(9).(4),Assault / homicide,1,4,4,0,2850.7622,0.207807,0.207807,0.207807,0.831228,0.831228,0,592.4083405
01:NL,2007,Female,35-64,(9).(5),Other intentional injury,0,0,0,0,0,0.207807,0.207807,0,0,0,0,0
01:NL,2007,Female,35-64,(A).(1),Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(A).(2),Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,35-64,(A).(3),Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(1).(1),Tuberculosis,2,18,18,0,21502.9061,0.139263,0.139263,0.278526,2.506734,2.506734,0,2994.559212
01:NL,2007,Female,65+,(1).(2),HIV,0,0,0,0,0,0.009011,0.009011,0,0,0,0,0
01:NL,2007,Female,65+,(1).(3),Lower respiratory tract infections,335,3971,3021,950,2806041.049,0.032571,0.032571,10.911285,129.339441,98.396991,30.94245,91395.56301
01:NL,2007,Female,65+,(2).(1),Oral cavity and pharynx cancer,3,105,88,17,141390.119,0.214622,0.214622,0.643866,22.53531,18.886736,3.648574,30345.43012
01:NL,2007,Female,65+,(2).(2),Oesaphageal cancer,8,159,143,16,107944.6431,0.264406,0.264406,2.115248,42.040554,37.810058,4.230496,28541.2113
01:NL,2007,Female,65+,(2).(3),Colorectal cancer,169,2292,2144,148,2043795.959,0.03316,0.03316,5.60404,76.00272,71.09504,4.90768,67772.27399
01:NL,2007,Female,65+,(2).(4),Liver cancer,9,240,131,109,158105.1209,0.284316,0.284311,2.558844,68.23584,37.245396,30.990444,44951.81555
01:NL,2007,Female,65+,(2).(5),Pancreatic cancer,20,315,304,11,275953.8075,0.039595,0.039595,0.7919,12.472425,12.03688,0.435545,10926.39101
01:NL,2007,Female,65+,(2).(6),Laryngeal cancer,3,42,42,0,27234.7171,0.14055,0.14055,0.42165,5.9031,5.9031,0,3827.839488
01:NL,2007,Female,65+,(2).(7),Breast cancer,99,409,372,37,566814.2902,0.079993,0.079993,7.919307,32.717137,29.757396,2.959741,45341.17552
01:NL,2007,Female,65+,(3).(1),Diabetes,220,3167,2685,482,2393735.812,-0.096,-0.096,-21.12,-304.032,-257.76,-46.272,-229798.638
01:NL,2007,Female,65+,(4).(1),Alcoholic psychoses,3,297,68,229,171590.1655,1,1,3,297,68,229,171590.1655
01:NL,2007,Female,65+,(4).(2),Alcohol abuse,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(4).(3),Alcohol dependence,2,19,19,0,9708.8106,1,1,2,19,19,0,9708.8106
01:NL,2007,Female,65+,(4).(4),Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(4).(5),Epilepsy,16,228,165,63,221475.509,0.089958,0.089958,1.439328,20.510424,14.84307,5.667354,19923.49384
01:NL,2007,Female,65+,(4).(6),Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(4).(7),Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(5).(1),Hypertension,92,573,512,61,476560.3652,0.049811,0.049811,4.582612,28.541703,25.503232,3.038471,23737.94835
01:NL,2007,Female,65+,(5).(2),Ischaemic heart disease,774,8090,7274,816,8445118.395,-0.14139,-0.14139,-109.43586,-1143.8451,-1028.47086,-115.37424,-1194055.29
01:NL,2007,Female,65+,(5).(3),Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(5).(4),Atrial fibrillation and cardiac arrhythmia,255,2155,1814,341,1888441.41,0.042154,0.042154,10.74927,90.84187,76.467356,14.374514,79605.35919
01:NL,2007,Female,65+,(5).(5),Haemorrhagic stroke,39,510,383,127,437953.992,-0.03959,-0.03959,-1.54401,-20.1909,-15.16297,-5.02793,-17338.59854
01:NL,2007,Female,65+,(5).(6),Ischaemic stroke,235,7066,3714,3352,4348788.247,-0.0646,-0.0646,-15.181,-456.4636,-239.9244,-216.5392,-280931.7208
01:NL,2007,Female,65+,(5).(7),Oesophageal varices,1,4,4,0,3893.5545,0.561476,0.561476,0.561476,2.245904,2.245904,0,2186.137406
01:NL,2007,Female,65+,(6).(1),Alcoholic gastritis,1,3,3,0,2459.0657,1,1,1,3,3,0,2459.0657
01:NL,2007,Female,65+,(6).(2),Liver cirrhosis,10,151,147,4,142890.5411,0.561476,0.561476,5.61476,84.782876,82.536972,2.245904,80229.60945
01:NL,2007,Female,65+,(6).(3),Acute pancreatitis,44,386,384,2,317248.4233,0.203425,0.203425,8.9507,78.52205,78.1152,0.40685,64536.26051
01:NL,2007,Female,65+,(6).(4),Chronic pancreatitis,3,18,18,0,10852.1361,0.327507,0.327507,0.982521,5.895126,5.895126,0,3554.150538
01:NL,2007,Female,65+,(6).(5),Alcohol-induced pancreatitis,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(7).(1),Motor vehicle collisions,19,177,160,17,150209.782,0.066380063,0.066380063,1.261221197,11.74927115,10.62081008,1.128461071,9970.934792
01:NL,2007,Female,65+,(8).(1),Falls,675,13324,8045,5279,9835784.806,0.090489,0.090489,61.080075,1205.675436,727.984005,477.691431,890030.3313
01:NL,2007,Female,65+,(8).(2),Drowning,0,0,0,0,0,0.090489,0.090489,0,0,0,0,0
01:NL,2007,Female,65+,(8).(3),Fires,0,0,0,0,0,0.090489,0.090489,0,0,0,0,0
01:NL,2007,Female,65+,(8).(4),Accidental poisoning by substances other than alcohol,9,55,55,0,44839.604,0.090489,0.090489,0.814401,4.976895,4.976895,0,4057.490926
01:NL,2007,Female,65+,(8).(5).(1),Accidental poisoning by alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(8).(5).(2),Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(8).(6),Other unintentional injuries,34,362,362,0,721746.2077,0.090489,0.090489,3.076626,32.757018,32.757018,0,65310.09259
01:NL,2007,Female,65+,(9).(1),Intentional self-poisoning by substances other than alcohol,5,37,37,0,26137.1162,0.115361,0.115361,0.576805,4.268357,4.268357,0,3015.203862
01:NL,2007,Female,65+,(9).(2).(1),Intentional self-poisoning by alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(9).(2).(2),Intentional self-poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(9).(3),Other intentional self-harm,0,0,0,0,0,0.115361,0.115361,0,0,0,0,0
01:NL,2007,Female,65+,(9).(4),Assault / homicide,3,211,211,0,143396.3934,0.115361,0.115361,0.346083,24.341171,24.341171,0,16542.35134
01:NL,2007,Female,65+,(9).(5),Other intentional injury,0,0,0,0,0,0.115361,0.115361,0,0,0,0,0
01:NL,2007,Female,65+,(A).(1),Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(A).(2),Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Female,65+,(A).(3),Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(1).(1),Tuberculosis,1,14,14,0,6936.336,0.570446,0.570446,0.570446,7.986244,7.986244,0,3956.805126
01:NL,2007,Male,15-34,(1).(2),HIV,0,0,0,0,0,0.076608,0.076608,0,0,0,0,0
01:NL,2007,Male,15-34,(1).(3),Lower respiratory tract infections,24,94,94,0,85866.6466,0.142223,0.142223,3.413352,13.368962,13.368962,0,12212.21208
01:NL,2007,Male,15-34,(2).(1),Oral cavity and pharynx cancer,1,6,6,0,8724.2389,0.633838,0.633838,0.633838,3.803028,3.803028,0,5529.754136
01:NL,2007,Male,15-34,(2).(2),Oesaphageal cancer,0,0,0,0,0,0.619351,0.619351,0,0,0,0,0
01:NL,2007,Male,15-34,(2).(3),Colorectal cancer,0,0,0,0,0,0.270697,0.270697,0,0,0,0,0
01:NL,2007,Male,15-34,(2).(4),Liver cancer,0,0,0,0,0,0.215837,0.215735,0,0,0,0,0
01:NL,2007,Male,15-34,(2).(5),Pancreatic cancer,0,0,0,0,0,0.10295,0.10295,0,0,0,0,0
01:NL,2007,Male,15-34,(2).(6),Laryngeal cancer,0,0,0,0,0,0.400983,0.400983,0,0,0,0,0
01:NL,2007,Male,15-34,(2).(7),Breast cancer,0,0,0,0,0,0,0,0,0,0,0,0
01:NL,2007,Male,15-34,(3).(1),Diabetes,19,84,84,0,69280.7096,0.038049,0.037971,0.722931,3.196116,3.196116,0,2636.06172
01:NL,2007,Male,15-34,(4).(1),Alcoholic psychoses,24,76,76,0,60680.2236,1,1,24,76,76,0,60680.2236
01:NL,2007,Male,15-34,(4).(2),Alcohol abuse,2,2,2,0,3502.6043,1,1,2,2,2,0,3502.6043
01:NL,2007,Male,15-34,(4).(3),Alcohol dependence,8,25,25,0,22140.4599,1,1,8,25,25,0,22140.4599
01:NL,2007,Male,15-34,(4).(4),Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(4).(5),Epilepsy,26,72,72,0,99765.1186,0.386983,0.386983,10.061558,27.862776,27.862776,0,38607.40489
01:NL,2007,Male,15-34,(4).(6),Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(4).(7),Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(5).(1),Hypertension,2,13,13,0,13901.0946,0.24452,0.24452,0.48904,3.17876,3.17876,0,3399.095652
01:NL,2007,Male,15-34,(5).(2),Ischaemic heart disease,11,48,48,0,86597.7621,0.051419,-0.07615,0.565609,2.468112,2.468112,0,4452.770329
01:NL,2007,Male,15-34,(5).(3),Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(5).(4),Atrial fibrillation and cardiac arrhythmia,7,24,24,0,27303.9559,0.173889,0.173889,1.217223,4.173336,4.173336,0,4747.857587
01:NL,2007,Male,15-34,(5).(5),Haemorrhagic stroke,7,92,92,0,214387.1019,0.254599,0.254599,1.782193,23.423108,23.423108,0,54582.74176
01:NL,2007,Male,15-34,(5).(6),Ischaemic stroke,3,18,18,0,14412.0418,0.05275,0.05275,0.15825,0.9495,0.9495,0,760.235205
01:NL,2007,Male,15-34,(5).(7),Oesophageal varices,0,0,0,0,0,0.577346,0.577346,0,0,0,0,0
01:NL,2007,Male,15-34,(6).(1),Alcoholic gastritis,1,1,1,0,3164.1194,1,1,1,1,1,0,3164.1194
01:NL,2007,Male,15-34,(6).(2),Liver cirrhosis,0,0,0,0,0,0.577346,0.577346,0,0,0,0,0
01:NL,2007,Male,15-34,(6).(3),Acute pancreatitis,10,32,32,0,29487.2964,0.446907,0.446907,4.46907,14.301024,14.301024,0,13178.07917
01:NL,2007,Male,15-34,(6).(4),Chronic pancreatitis,1,7,7,0,2548.0125,0.590893,0.590893,0.590893,4.136251,4.136251,0,1505.60275
01:NL,2007,Male,15-34,(6).(5),Alcohol-induced pancreatitis,1,4,4,0,2623.6275,1,1,1,4,4,0,2623.6275
01:NL,2007,Male,15-34,(7).(1),Motor vehicle collisions,71,1074,915,159,1798581.439,0.256108084,0.256108084,18.18367396,275.0600822,234.3388969,40.72118536,460631.2461
01:NL,2007,Male,15-34,(8).(1),Falls,82,375,354,21,446323.6893,0.320854,0.320854,26.310028,120.32025,113.582316,6.737934,143204.741
01:NL,2007,Male,15-34,(8).(2),Drowning,1,2,2,0,7560.7785,0.320854,0.320854,0.320854,0.641708,0.641708,0,2425.906025
01:NL,2007,Male,15-34,(8).(3),Fires,2,28,28,0,109895.0666,0.320854,0.320854,0.641708,8.983912,8.983912,0,35260.2717
01:NL,2007,Male,15-34,(8).(4),Accidental poisoning by substances other than alcohol,27,82,82,0,176419.8471,0.320854,0.320854,8.663058,26.310028,26.310028,0,56605.01362
01:NL,2007,Male,15-34,(8).(5).(1),Accidental poisoning by alcohol,1,1,1,0,1522.1085,1,1,1,1,1,0,1522.1085
01:NL,2007,Male,15-34,(8).(5).(2),Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(8).(6),Other unintentional injuries,172,1116,1106,10,1365008.093,0.320854,0.320854,55.186888,358.073064,354.864524,3.20854,437968.3067
01:NL,2007,Male,15-34,(9).(1),Intentional self-poisoning by substances other than alcohol,39,346,346,0,428565.0862,0.381607,0.381607,14.882673,132.036022,132.036022,0,163543.4368
01:NL,2007,Male,15-34,(9).(2).(1),Intentional self-poisoning by alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(9).(2).(2),Intentional self-poisoning by NB alcohol,1,4,4,0,4907.516,1,1,1,4,4,0,4907.516
01:NL,2007,Male,15-34,(9).(3),Other intentional self-harm,15,124,124,0,103963.3603,0.381607,0.381607,5.724105,47.319268,47.319268,0,39673.14603
01:NL,2007,Male,15-34,(9).(4),Assault / homicide,57,235,235,0,250712.4298,0.381607,0.381607,21.751599,89.677645,89.677645,0,95673.6182
01:NL,2007,Male,15-34,(9).(5),Other intentional injury,0,0,0,0,0,0.381607,0.381607,0,0,0,0,0
01:NL,2007,Male,15-34,(A).(1),Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(A).(2),Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,15-34,(A).(3),Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
01:NL,2007,Male,35-64,(1).(1),Tuberculosis,1,17,17,0,12202.7009,0.554184,0.554184,0.554184,9.421128,9.421128,0,6762.541596
01:NL,2007,Male,35-64,(1).(2),HIV,2,43,15,28,37320.0542,0.072804,0.072804,0.145608,3.130572,1.09206,2.038512,2717.049226
01:NL,2007,Male,35-64,(1).(3),Lower respiratory tract infections,142,961,951,10,743120.0703,0.138305,0.138305,19.63931,132.911105,131.528055,1.38305,102777.2213
01:NL,2007,Male,35-64,(2).(1),Oral cavity and pharynx cancer,22,198,194,4,223623.0895,0.621753,0.621753,13.678566,123.107094,120.620082,2.487012,139038.3268
01:NL,2007,Male,35-64,(2).(2),Oesaphageal cancer,8,194,189,5,161310.8597,0.61227,0.61227,4.89816,118.78038,115.71903,3.06135,98765.80007
